Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),System Time,Alert Type (Audio/Text),Action,Description,
5152.31,2,8,2021-07-03 13:30:59,+27.07476,-82.43605,26,27.7,225.0,+5.9,13:30:59,AUDIO,PLAY,AOA_05_16,
5152.31,2,8,2021-07-03 13:30:59,+27.07476,-82.43605,26,27.7,225.0,+5.9,13:30:59,AUDIO,STOP,AOA_07_16,
5152.81,2,8,2021-07-03 13:31:00,+27.07471,-82.43610,26,27.4,226.6,+5.9,13:31:00,AUDIO,STOP,AOA_05_16,
5767.19,2,8,2021-07-03 13:41:14,+27.07502,-82.43578,26,39.1,226.2,+5.9,13:41:14,AUDIO,PLAY,AOA_08_16,
5767.19,2,8,2021-07-03 13:41:14,+27.07502,-82.43578,26,39.1,226.2,+5.9,13:41:14,AUDIO,STOP,AOA_05_16,
5767.69,2,8,2021-07-03 13:41:15,+27.07495,-82.43585,23,38.5,227.3,+5.9,13:41:14,AUDIO,PLAY,AOA_14_16,
5767.69,2,8,2021-07-03 13:41:15,+27.07495,-82.43585,23,38.5,227.3,+5.9,13:41:15,AUDIO,STOP,AOA_08_16,
5768.19,2,8,2021-07-03 13:41:15,+27.07489,-82.43592,22,37.9,227.4,+5.9,13:41:15,AUDIO,PLAY,AOA_10_16,
5768.19,2,8,2021-07-03 13:41:15,+27.07489,-82.43592,22,37.9,227.4,+5.9,13:41:15,AUDIO,STOP,AOA_14_16,
5768.69,2,8,2021-07-03 13:41:16,+27.07484,-82.43600,21,36.8,228.8,+5.9,13:41:15,AUDIO,STOP,AOA_10_16,
5771.69,2,8,2021-07-03 13:41:19,+27.07451,-82.43639,22,32.4,226.8,+5.9,13:41:18,AUDIO,PLAY,AOA_07_16,
5771.69,2,8,2021-07-03 13:41:19,+27.07451,-82.43639,22,32.4,226.8,+5.9,13:41:18,AUDIO,STOP,AOA_10_16,
5772.19,2,8,2021-07-03 13:41:19,+27.07446,-82.43645,22,31.8,226.7,+5.9,13:41:19,AUDIO,PLAY,AOA_02_16,
5772.19,2,8,2021-07-03 13:41:19,+27.07446,-82.43645,22,31.8,226.7,+5.9,13:41:19,AUDIO,STOP,AOA_07_16,
5772.69,2,8,2021-07-03 13:41:20,+27.07442,-82.43652,22,31.1,226.5,+5.9,13:41:19,AUDIO,PLAY,AOA_02_16,
5773.19,2,8,2021-07-03 13:41:20,+27.07437,-82.43658,22,30.5,226.1,+5.9,13:41:20,AUDIO,PLAY,AOA_06_16,
5773.19,2,8,2021-07-03 13:41:20,+27.07437,-82.43658,22,30.5,226.1,+5.9,13:41:20,AUDIO,STOP,AOA_02_16,
